Course_number,Time1,Place
1122_000000,U67,ED117[GF]
1122_030001,Tn,NULL
1122_030002,T56,NULL
1122_030003,T567,NULL
1122_030004,M34,NULL
1122_030005,W567,NULL
1122_110002,W34,YT202[YM]
1122_110003,W34,YT202[YM]
1122_110004,W34,YT202[YM]
1122_110005,W34,YT202[YM]
1122_110006,W34,YT206[YM]
1122_110007,W34,YT206[YM]
1122_110008,W34,YT206[YM]
1122_110009,W34,YT206[YM]
1122_110010,W34,YT206[YM]
1122_110011,W34,YT206[YM]
1122_110012,W34,YT202[YM]
1122_110013,W34,YT202[YM]
1122_110014,W34,YT206[YM]
1122_110015,W34,YT206[YM]
1122_110016,W34,YT206[YM]
1122_110017,W34,YX501[YM]
1122_110018,W34,YX501[YM]
1122_110019,W34,YX501[YM]
1122_110020,W34,YT104[YM]
1122_110021,W34,YT104[YM]
1122_110022,W34,YT104[YM]
1122_110023,W34,YT104[YM]
1122_110024,W34,YT104[YM]
1122_110025,W34,YT104[YM]
1122_110026,W34,YX501[YM]
1122_110027,T8,YM201[YM]
1122_110028,Sa,NULL
1122_110029,Sa,NULL
1122_110030,Sa,NULL
1122_110031,Sa,NULL
1122_110032,Sa,NULL
1122_110033,Sa,NULL
1122_110034,W34,NULL
1122_110035,W34,NULL
1122_110036,M34,YX406[YM]
1122_110037,M5678,YED109[YM]
1122_110038,W5678,YED109[YM]
1122_110039,M1234,YT001[YM]
1122_110040,M1234,YEC109[YM]
1122_110041,M1234,YT001[YM]
1122_110042,M1234,YT001[YM]
1122_110043,M1234,YT001[YM]
1122_110044,M1234,YT001[YM]
1122_110045,M1234,YT001[YM]
1122_110046,T5678,YED214[YM]
1122_110047,M1234,YT001[YM]
1122_110048,M1234,YT001[YM]
1122_110049,R5678,NULL
1122_110050,F56,YM225[YM]
1122_110051,S34,ED302[GF]
1122_110051,S34,YL405[YM]
1122_110052,M78,ED305[GF]
1122_110052,M78,YL404[YM]
1122_110053,M34,ED305[GF]
1122_110053,M34,YM303[YM]
1122_110057,Sa,NULL
1122_110058,Sb,NULL
1122_110069,Rab,NULL
1122_110070,Sd,NULL
1122_110202,R789,NULL
1122_110203,M12345678,YT002[YM]
1122_110204,M12345678,YT002[YM]
1122_110205,M12345678,YT002[YM]
1122_110206,M12345678,YT002[YM]
1122_110207,M12345678,YT002[YM]
1122_110208,M12345678,YT002[YM]
1122_110209,M12345678,YT002[YM]
1122_110210,M12345678,YT002[YM]
1122_110211,M12345678,YT002[YM]
1122_110212,M12345678,YT002[YM]
1122_110213,M12345678,YT002[YM]
1122_110214,Sb,YT002[YM]
1122_110215,U1,NULL
1122_110216,Ryz,NULL
1122_110217,W78,NULL
1122_110218,S34,NULL
1122_110219,R5678,YX216[YM]
1122_110220,Sc,YT205[YM]
1122_110221,W78,YT303[YM]
1122_111500,T34,YD105[YM]
1122_111501,W567,YD210[YM]
1122_111502,M78,YD214[YM]
1122_111503,W34,YD214[YM]
1122_111504,W34,YD214[YM]
1122_111505,W34,YD214[YM]
1122_111506,W34,YD214[YM]
1122_111507,W34,YD214[YM]
1122_111508,F56789,YD214[YM]
1122_111509,W34,YD210[YM]
1122_111510,W34,YD210[YM]
1122_111511,W34,YD210[YM]
1122_111512,W34,YD210[YM]
1122_111513,W34,YD210[YM]
1122_111514,M34,YD320[YM]
1122_111515,W56,YD320[YM]
1122_111516,T1234,YD210[YM]
1122_111517,T1234,YD210[YM]
1122_111518,W34,YD320[YM]
1122_111519,W1,YD320[YM]
1122_111520,M56,YD214[YM]
1122_111521,M12,YD210[YM]
1122_111522,R123456789,YD202[YM]
1122_111523,T1234,YD210[YM]
1122_111524,T1234,YD210[YM]
1122_111525,F9a,YD320[YM]
1122_111526,F9a,YD320[YM]
1122_111527,F9a,YD320[YM]
1122_111528,F9a,YD320[YM]
1122_111529,F9a,YD320[YM]
1122_111530,T89,YD320[YM]
1122_111531,T34,YD214[YM]
1122_111532,R34,YD105[YM]
1122_111533,R567,YD214[YM]
1122_111534,M12,YD105[YM]
1122_111535,M345678,YD210[YM]
1122_111536,W12,YD210[YM]
1122_111537,W345678,YD202[YM]
1122_111538,W9a,YD105[YM]
1122_111539,W9a,YD105[YM]
1122_111540,W9a,YD105[YM]
1122_111541,W9a,YD105[YM]
1122_111542,W9a,YD105[YM]
1122_111543,W56,YD214[YM]
1122_111544,R12,YD214[YM]
1122_111545,R34,YD214[YM]
1122_111546,R56,YD105[YM]
1122_111547,T34,YD320[YM]
1122_111548,T567,YD214[YM]
1122_111549,M9abc,YD320[YM]
1122_111550,M34,YD105[YM]
1122_111551,T9a,YD105[YM]
1122_111552,T9a,YD105[YM]
1122_111553,T9a,YD105[YM]
1122_111554,T9a,YD105[YM]
1122_111555,T9a,YD105[YM]
1122_111568,F234,NULL
1122_111569,F56789a,NULL
1122_111570,M2,YD320[YM]
1122_111571,F34,AB102[GF]
1122_111571,F34,YK208[YM]
1122_111572,M2,YD214[YM]
1122_111800,R56,YN418[YM]
1122_111801,W78,A205[GF]
1122_111802,M1234n5678,YN414[YM]
1122_111803,W34,YN603[YM]
1122_111804,M12345678,YN416[YM]
1122_111805,M1234n5678,YN418[YM]
1122_111806,M12345678,NULL
1122_111807,W12345678,YN416[YM]
1122_111808,W12345678,NULL
1122_111809,T9a,YN418[YM]
1122_111810,M12345678,NULL
1122_111811,F234,EE129[GF]
1122_111811,F234,YN418[YM]
1122_111812,M12345678,NULL
1122_111813,R9a,YN418[YM]
1122_111814,W56,YN321[YM]
1122_111815,F34,YN416[YM]
1122_111816,Mab,YN416[YM]
1122_111817,F5678,CS100[GF]
1122_111817,F5678,YL404[YM]
1122_111900,W34,SC109[GF]
1122_111901,T34,YT302[YM]
1122_111902,T234,SC157[GF]
1122_111903,W56,EB107[GF]
1122_111904,W56,EB107[GF]
1122_111905,M1234n5678,NULL
1122_111906,M1234n5678,NULL
1122_111907,Mcd,NULL
1122_111908,M1234n5678,NULL
1122_111909,Fbc,NULL
1122_111910,Fb,NULL
1122_111911,Fb,NULL
1122_111912,Fc,NULL
1122_111913,Rc,NULL
1122_111914,T5678,YED309[YM]
1122_111915,T5678,YED309[YM]
1122_111916,W34,YR101[YM]
1122_111917,W34,YR101[YM]
1122_111918,R5678,YED309[YM]
1122_111919,T5678,YED309[YM]
1122_111920,Fbc,NULL
1122_111921,F12,YR105[YM]
1122_111922,Mcd,NULL
1122_111923,Tcd,NULL
1122_112000,F56,YB102[YM]
1122_112001,M56,YT301[YM]
1122_112002,T56,YT103[YM]
1122_112003,U1,NULL
1122_112004,F34,YB102[YM]
1122_112005,Wn9,NULL
1122_112006,W56,YB229[YM]
1122_112007,W9,NULL
1122_112008,T78,YT304[YM]
1122_112009,M567,YB229[YM]
1122_112010,T34,YT103[YM]
1122_112011,R78,YB101[YM]
1122_112012,M34,YB101[YM]
1122_112013,W12,YX406[YM]
1122_112014,T34,YT305[YM]
1122_112015,W5678,YED214[YM]
1122_112016,T567,YB229[YM]
1122_112017,M56,YT202[YM]
1122_112018,T56,YT104[YM]
1122_112019,W34,YT304[YM]
1122_112020,W34,YB102[YM]
1122_112021,T56,YT304[YM]
1122_112022,M34,YT304[YM]
1122_112100,R678,YT304[YM]
1122_112101,F234,YED309[YM]
1122_112102,Tn56,YT303[YM]
1122_112103,T234,YT303[YM]
1122_112104,M234,YT305[YM]
1122_112105,W34,YT103[YM]
1122_112106,W34,YT203[YM]
1122_112107,F567,YT104[YM]
1122_112108,M567,YT303[YM]
1122_112109,T789,YE003[YM]
1122_112110,M234,YT303[YM]
1122_112111,M89,YEA200[YM]
1122_112112,W567,YT304[YM]
1122_112113,R234,YT303[YM]
1122_112114,W89a,YEA200[YM]
1122_112115,T567,YT204[YM]
1122_112116,Tn,YEA200[YM]
1122_112117,Mn,YEA200[YM]
1122_112118,Wn,YEA200[YM]
1122_112119,T234,YT203[YM]
1122_112120,F234,YE003[YM]
1122_112121,T234,YE003[YM]
1122_112122,W567,YED202[YM]
1122_112123,M567,YT304[YM]
1122_112125,W34,YT103[YM]
1122_112126,W34,YT103[YM]
1122_112127,W34,YT203[YM]
1122_112128,W34,YT203[YM]
1122_112129,Sab,NULL
1122_112130,Uab,NULL
1122_112131,M567,YE003[YM]
1122_112132,W567,YEA300[YM]
1122_112200,T567,YE003[YM]
1122_112201,W12,YB601[YM]
1122_112202,M567,YB602[YM]
1122_112203,U12,NULL
1122_112204,M34,YB601[YM]
1122_112205,T34,YB601[YM]
1122_112206,R123,YB603[YM]
1122_112207,W8,YB624[YM]
1122_112208,U7,NULL
1122_112209,U6,NULL
1122_112210,T12,YB624[YM]
1122_112211,M5,YB624[YM]
1122_112212,F12,YB602[YM]
1122_112213,T34,YB602[YM]
1122_112214,R56,YB602[YM]
1122_112215,R78,YB602[YM]
1122_112216,F56,YB624[YM]
1122_112217,S23,YB601[YM]
1122_112218,T5678,YB602[YM]
1122_112219,W56,YB603[YM]
1122_112220,F34,YB602[YM]
1122_112221,Sn,NULL
1122_112222,S78,NULL
1122_112223,Un,NULL
1122_112224,U12,NULL
1122_112225,Fn,NULL
1122_112226,U34,NULL
1122_112227,U5678,NULL
1122_112228,Syz,NULL
1122_112229,Uyz,NULL
1122_112230,Un,NULL
1122_112231,W12345678,NULL
1122_112232,F12345678,NULL
1122_112233,R12,YB624[YM]
1122_112234,F78,YB603[YM]
1122_112235,F12,YB601[YM]
1122_112236,F34,YB601[YM]
1122_112237,F56,YB601[YM]
1122_112238,M5678,YB601[YM]
1122_112239,R5678,YB601[YM]
1122_112240,T5,YB601[YM]
1122_112241,T7,YB601[YM]
1122_112242,M34,YB602[YM]
1122_112243,S23,YB610[YM]
1122_112244,W567,YB624[YM]
1122_112245,R12,YB601[YM]
1122_112246,R34,YB601[YM]
1122_112247,W7,YB601[YM]
1122_112248,W8,YB601[YM]
1122_112249,T2,YB602[YM]
1122_112250,S9a,YB624[YM]
1122_112251,Fbc,YB603[YM]
1122_112252,Sd,NULL
1122_112253,Myz,NULL
1122_112254,Fyz,NULL
1122_112255,W34,NULL
1122_112256,M56,YX216[YM]
1122_112257,W34,NULL
1122_112258,M34,YB624[YM]
1122_112259,F9a,YB624[YM]
1122_112260,R9a,YB603[YM]
1122_112263,Syz,NULL
1122_112264,Syz,NULL
1122_112265,Uyz,NULL
1122_112269,Wyz,NULL
1122_112300,M78,YT103[YM]
1122_112301,R56,YT104[YM]
1122_112302,M34,YB100[YM]
1122_112304,W34,YT303[YM]
1122_112305,W34,YT303[YM]
1122_112306,W34,YT303[YM]
1122_112307,R78,YT104[YM]
1122_112308,M234,YB458[YM]
1122_112309,M56,YT206[YM]
1122_112310,T34,YB102[YM]
1122_112311,M78,YB118[YM]
1122_112311,F2,YT205[YM]
1122_112312,T78,YB118[YM]
1122_112312,F2,YT103[YM]
1122_112313,T9a,YB458[YM]
1122_112314,W34,YT204[YM]
1122_112315,W34,YT204[YM]
1122_112316,W34,YT204[YM]
1122_112317,M234,YT205[YM]
1122_112318,F56,YB100[YM]
1122_112319,T12,YB458[YM]
1122_112320,M56,YT204[YM]
1122_112321,F78,YB102[YM]
1122_112322,W56,YT205[YM]
1122_112323,R56,YT303[YM]
1122_112324,T5678,YB101[YM]
1122_112325,T34,YB458[YM]
1122_112326,W9a,NULL
1122_112327,F34,YT103[YM]
1122_112328,M78,YB101[YM]
1122_112329,Sc,NULL
1122_112330,S67,NULL
1122_112331,W34,YB458[YM]
1122_112331,W34,YL401[YM]
1122_112332,W567,YB118[YM]
1122_112333,W567,YB102[YM]
1122_112334,S5,NULL
1122_112335,U2,NULL
1122_112336,U1,NULL
1122_112337,S8,NULL
1122_112338,U5,NULL
1122_112339,U3,NULL
1122_112340,F9a,YB458[YM]
1122_112341,U4,NULL
1122_112342,Sc,NULL
1122_112343,W567,YT202[YM]
1122_112344,F567,YE003[YM]
1122_112345,W56,YB458[YM]
1122_112346,T56,YB458[YM]
1122_112400,M56,NULL
1122_112401,S123,NULL
1122_112404,S12,NULL
1122_112500,T56,YK533[YM]
1122_112501,W56,YX216[YM]
1122_112502,T34,YX406[YM]
1122_112503,F5678,YED109[YM]
1122_112504,R234,YE003[YM]
1122_112506,R234,YX503[YM]
1122_112507,W34,YL402[YM]
1122_112508,W34,YL402[YM]
1122_112509,W34,YL402[YM]
1122_112510,W34,YL402[YM]
1122_112511,W34,YL402[YM]
1122_112512,W34,YK101[YM]
1122_112513,W34,YK101[YM]
1122_112514,W34,YK101[YM]
1122_112515,W34,YK101[YM]
1122_112516,W34,YK101[YM]
1122_112517,M56,YK104[YM]
1122_112518,T789,YK100[YM]
1122_112519,M78,YK436[YM]
1122_112520,R78,YK101[YM]
1122_112521,T34,YK101[YM]
1122_112522,W34,YK436[YM]
1122_112522,W34,YK533[YM]
1122_112523,F56,YK101[YM]
1122_112524,M34,YK101[YM]
1122_112525,W56,YK101[YM]
1122_112526,S12,NULL
1122_112527,S34,NULL
1122_112528,U5678,NULL
1122_112531,S12,NULL
1122_112532,R34,YK533[YM]
1122_112900,T7,YX216[YM]
1122_112901,M12,YT003[YM]
1122_112902,T56,YX501[YM]
1122_112903,T56,CS100[GF]
1122_112903,T56,YT305[YM]
1122_112904,T34,YL405[YM]
1122_112905,W5678,YED309[YM]
1122_112906,F5678,YED309[YM]
1122_113100,M12345678,YT002[YM]
1122_113101,R9abc,YX503[YM]
1122_113102,R9abc,YED214[YM]
1122_113103,F34,YL403[YM]
1122_113200,W5678,YEC211[YM]
1122_113201,W12,ED101[GF]
1122_113201,W12,YX216[YM]
1122_113300,M56,YT001[YM]
1122_113301,M78,YEC211[YM]
1122_113302,R34,YEC211[YM]
1122_113400,T5678,YT002[YM]
1122_113401,T5678,YT002[YM]
1122_113402,R5,YT305[YM]
1122_113500,M56,YL403[YM]
1122_113501,S12,YX216[YM]
1122_113502,W56,NULL
1122_113503,M56,YT305[YM]
1122_113504,F567,YX503[YM]
1122_113505,F34,YT302[YM]
1122_113506,T12,YX216[YM]
1122_113800,R56,EE112[GF]
1122_113801,F34,YT304[YM]
1122_113802,R9a,CS100[GF]
1122_113803,F12,CS100[GF]
1122_113803,F12,YM201[YM]
1122_113804,F12,YT206[YM]
1122_113805,T56,YT302[YM]
1122_113806,F34,YT203[YM]
1122_113807,T56,NULL
1122_113808,T56,YT203[YM]
1122_113809,T5678,YX406[YM]
1122_113810,W78,YM201[YM]
1122_113811,W34,YT001[YM]
1122_113812,S1234,NULL
1122_113813,T56,YX202[YM]
1122_113814,S1234,NULL
1122_130000,Tn,YED214[YM]
1122_130001,R34,YR103[YM]
1122_130002,M12,YR105[YM]
1122_130003,M34,YR105[YM]
1122_130004,F34,YR105[YM]
1122_130005,Mab,YR104[YM]
1122_130006,M9,YR105[YM]
1122_130007,F78,YR104[YM]
1122_130008,M67,YR105[YM]
1122_130009,Rn,YR102[YM]
1122_130010,F12,YR102[YM]
1122_130011,T56,YR105[YM]
1122_130012,W34,YR105[YM]
1122_130100,M1234,YR101[YM]
1122_130101,T1234,YR105[YM]
1122_130102,T567,YR103[YM]
1122_130103,F234,YR101[YM]
1122_130104,R78,YR101[YM]
1122_130105,W56,YX406[YM]
1122_130106,F5678,YR102[YM]
1122_130107,R9abc,YED214[YM]
1122_130108,M78,YL402[YM]
1122_130109,Uabc,NULL
1122_130110,Uabc,NULL
1122_130111,M34,YR509[YM]
1122_130112,M9ab,YR101[YM]
1122_130113,W34,YR508[YM]
1122_130114,Fab,NULL
1122_130115,W789,YL403[YM]
1122_130116,W567,YR103[YM]
1122_130117,R345678,YED214[YM]
1122_130118,Rab,YR101[YM]
1122_130119,M567,NULL
1122_130120,F9a,YR103[YM]
1122_130121,W9ab,YR508[YM]
1122_130122,T9a,YR103[YM]
1122_130123,M234,YR508[YM]
1122_130124,W567,YR508[YM]
1122_130200,F34n,YN514[YM]
1122_130201,F12,YS221[YM]
1122_130202,F56,YS103[YM]
1122_130203,R234,YT305[YM]
1122_130204,M34,YS107[YM]
1122_130205,T12,YS221[YM]
1122_130206,T34,YS107[YM]
1122_130207,T34,YS221[YM]
1122_130208,T234,YS103[YM]
1122_130209,T56,YS221[YM]
1122_130210,W34,YS221[YM]
1122_130211,W34,YS107[YM]
1122_130212,W56,YN511[YM]
1122_130213,M56,YS107[YM]
1122_130214,W78,YS221[YM]
1122_130215,Rn5,NULL
1122_130216,Rn5,YN511[YM]
1122_130217,R56,YN511[YM]
1122_130218,R56,YS103[YM]
1122_130219,R78,YS103[YM]
1122_130220,R789,YT202[YM]
1122_130221,T56,YS103[YM]
1122_130222,M78,YS107[YM]
1122_130223,M234n,YS415[YM]
1122_130224,T56,YS107[YM]
1122_130225,M12,YS221[YM]
1122_130226,F56,YS221[YM]
1122_130227,M567,YS103[YM]
1122_130228,Rn5,NULL
1122_130229,Rn5,YN511[YM]
1122_130231,R78,YS107[YM]
1122_130232,R78,YS221[YM]
1122_130300,M2,NULL
1122_130301,T78,YR102[YM]
1122_130303,W34,YL405[YM]
1122_130304,W56,YL405[YM]
1122_130305,W78,YR105[YM]
1122_130306,R12,YL405[YM]
1122_130307,R34,YL405[YM]
1122_130308,R56,YL405[YM]
1122_130309,F34,YL405[YM]
1122_130310,F56,YM225[YM]
1122_130311,S1234n56789abcd,YR101[YM]
1122_130312,R34,YL404[YM]
1122_130313,R34,NULL
1122_130314,U1,NULL
1122_130315,F78,YR105[YM]
1122_130317,F12,YL405[YM]
1122_130400,M234,YED109[YM]
1122_130401,F234,YED109[YM]
1122_130402,W5678,YEA100[YM]
1122_130403,W7,YEA100[YM]
1122_130404,T34,YEA100[YM]
1122_130405,T56,YEA100[YM]
1122_130406,T56,YT205[YM]
1122_130407,W12,YEA100[YM]
1122_130408,R56,YEA100[YM]
1122_130409,F56,YEA100[YM]
1122_130410,M567,YEA100[YM]
1122_130411,W56,YEA100[YM]
1122_130412,R56,YEC102[YM]
1122_130413,M1,YEA100[YM]
1122_130414,W34,YEA100[YM]
1122_130415,F34,YEA100[YM]
1122_130500,T34,YN514[YM]
1122_130501,F56,YN511[YM]
1122_130502,W34,YN514[YM]
1122_130503,W78,YN514[YM]
1122_130504,F78,YN514[YM]
1122_130505,M34,YN511[YM]
1122_130506,F56,YN511[YM]
1122_130507,F789,YS221[YM]
1122_130508,M78,YN514[YM]
1122_130509,F78,YN611[YM]
1122_130510,T56,YN511[YM]
1122_130600,M12,YR103[YM]
1122_130601,T78,YR101[YM]
1122_130700,T12,YN613[YM]
1122_130701,R12,YN613[YM]
1122_130703,T56,YN611[YM]
1122_130704,W34,YN613[YM]
1122_130705,T78,YN613[YM]
1122_130706,R56,YN611[YM]
1122_130707,T34,YN511[YM]
1122_130708,T34,YN613[YM]
1122_130709,T789,YN611[YM]
1122_130710,T56,YN613[YM]
1122_130711,S567,NULL
1122_130800,M34,YS105[YM]
1122_130801,M56,YS105[YM]
1122_130802,M78,YS105[YM]
1122_130803,M78,YS105[YM]
1122_130804,M34,YS103[YM]
1122_130806,T78,YS105[YM]
1122_130807,T34,YB100[YM]
1122_130808,T34,YB100[YM]
1122_130809,T56,YS105[YM]
1122_130810,T56,YS105[YM]
1122_130811,W4n,YS415[YM]
1122_130812,W4n,YS415[YM]
1122_130815,W56,YS105[YM]
1122_130816,R12,YS105[YM]
1122_130818,R789a,YS105[YM]
1122_130819,R34,YS105[YM]
1122_130820,R78,YS415[YM]
1122_130821,F12,YS105[YM]
1122_130822,F34,YS105[YM]
1122_130823,F56,YS105[YM]
1122_130824,W4n,YS415[YM]
1122_130825,W4n,YS415[YM]
1122_130826,R34,YS103[YM]
1122_130827,U12,YS105[YM]
1122_130900,F34,YN118[YM]
1122_130901,R7,YN118[YM]
1122_130902,R8,YN118[YM]
1122_130904,R4,YN118[YM]
1122_130905,R5,YN118[YM]
1122_130906,R6,YN118[YM]
1122_131000,Un,NULL
1122_131001,Rn,YL402[YM]
1122_131002,M56,YR102[YM]
1122_131003,M56,YR104[YM]
1122_131004,M56,YR319[YM]
1122_131005,M78,YR101[YM]
1122_131006,R78,YR105[YM]
1122_131007,M34,YL401[YM]
1122_131008,M78,YL401[YM]
1122_131009,W78,YL401[YM]
1122_131010,M78,YL405[YM]
1122_131011,M34,YR103[YM]
1122_131012,M34,YL405[YM]
1122_131013,M34,YL404[YM]
1122_131014,T56,YR101[YM]
1122_131015,T78,YR105[YM]
1122_131016,T78,YR104[YM]
1122_131017,R34,YL402[YM]
1122_131018,W34,YR102[YM]
1122_131019,R34,YR104[YM]
1122_131020,F56,YR103[YM]
1122_131021,Mbc,YR105[YM]
1122_131022,Rbc,YR105[YM]
1122_131100,W56,YL839[YM]
1122_131101,W34,YL837[YM]
1122_131102,M34,YL837[YM]
1122_131103,W1,YL839[YM]
1122_131104,R567,YL845[YM]
1122_131105,R78,YL745[YM]
1122_131106,R34,YL837[YM]
1122_131107,R789,YL839[YM]
1122_131108,M23,NULL
1122_131109,M78,YL845[YM]
1122_131110,W89,YL845[YM]
1122_131111,T9a,YL402[YM]
1122_131112,W567,YL845[YM]
1122_131113,T56,YL402[YM]
1122_131114,T234,YL402[YM]
1122_131200,M56,YS405[YM]
1122_131201,T78,YS405[YM]
1122_131202,T34,YS405[YM]
1122_131203,R34,YS415[YM]
1122_131204,F34n,YS405[YM]
1122_131205,M34,YS407[YM]
1122_131206,T78,YS415[YM]
1122_131207,M9,YS405[YM]
1122_131209,R34,YS405[YM]
1122_131210,W56,YS405[YM]
1122_131211,W78,YS405[YM]
1122_131212,R5,YS405[YM]
1122_131213,M78,YS405[YM]
1122_131214,M78,YS405[YM]
1122_131215,W56,YR104[YM]
1122_131216,U1,YS415[YM]
1122_131217,F1,YS405[YM]
1122_131218,T56,YS405[YM]
1122_131220,W78,YR615[YM]
1122_131221,W34,YS405[YM]
1122_131300,Rn,YN514[YM]
1122_131301,S56,YS107[YM]
1122_131400,T56,YD302[YM]
1122_131401,T34,YD302[YM]
1122_131402,T9a,YD209[YM]
1122_131403,W78,YD320[YM]
1122_131404,M78,YD207[YM]
1122_131405,W3,YD207[YM]
1122_131406,T12,YD304[YM]
1122_131407,T78,YD207[YM]
1122_131408,F56,YD209[YM]
1122_131409,M34,YD302[YM]
1122_131410,M34,YD304[YM]
1122_131411,M5678,NULL
1122_131412,M5678,NULL
1122_131413,W9a,NULL
1122_131414,T78,YD302[YM]
1122_131415,M5678,NULL
1122_131416,M12345678,NULL
1122_131417,M5678,NULL
1122_131418,F78,YD302[YM]
1122_131500,R34,YD302[YM]
1122_131501,M56,YD302[YM]
1122_131502,M78,YD320[YM]
1122_131503,F56,YD302[YM]
1122_131504,W56,YD302[YM]
1122_131505,R56,YD304[YM]
1122_131506,T56,YD415[YM]
1122_131507,W34,YD415[YM]
1122_131508,F12,YD302[YM]
1122_131509,F9,YD302[YM]
1122_131600,W9a,YD207[YM]
1122_131601,W56,YD209[YM]
1122_131700,T567,YN603[YM]
1122_131701,T567,YN419[YM]
1122_131702,T567,YN319[YM]
1122_131703,W12345678,NULL
1122_131704,W12345678,NULL
1122_131705,W12345678,NULL
1122_131706,W12345678,NULL
1122_131707,W12345678,NULL
1122_131708,T567,YN322[YM]
1122_131709,R1234,YN418[YM]
1122_131710,R9a,YN322[YM]
1122_131711,R78,YN321[YM]
1122_131712,T234,YN302[YM]
1122_131713,F9a,YN419[YM]
1122_131714,F78,YN414B[YM]
1122_131715,W789a,YN419[YM]
1122_131716,S12345678,NULL
1122_131800,T567,YN301[YM]
1122_131801,W123456789,NULL
1122_131802,W123456789,NULL
1122_131803,T8,YN301[YM]
1122_131804,R89,YN301[YM]
1122_131805,R56,YN416[YM]
1122_131806,F78,YN608[YM]
1122_131807,R56,YN419[YM]
1122_131900,T34,YC101[YM]
1122_131901,T12,YC101[YM]
1122_131902,R56,YC101[YM]
1122_131903,W34,YC101[YM]
1122_131906,M56,YC101[YM]
1122_131907,M34,YC101[YM]
1122_131909,R34,YC101[YM]
1122_131910,R78,YC101[YM]
1122_131911,M78,YC101[YM]
1122_132000,R56,YT204[YM]
1122_132001,W78,YR101[YM]
1122_132002,M78,YK533[YM]
1122_132003,M56,YK533[YM]
1122_132004,F567,YR101[YM]
1122_132005,T34,YL403[YM]
1122_132005,W78,YK533[YM]
1122_132006,M234,YK533[YM]
1122_132007,R34,YR105[YM]
1122_132008,M78,YR103[YM]
1122_132009,M12n,NULL
1122_132010,T56,YL401[YM]
1122_132011,W78,YR104[YM]
1122_132012,R567,YR103[YM]
1122_132014,F56,NULL
1122_132015,F34,YR103[YM]
1122_132016,M34,YK436[YM]
